cycle,i_ball_x,i_ball_y,i_ball_speed,i_ball_vel_angle,i_ball_r,i_ball_t,i_pass_origin_x,i_pass_origin_y,i_ball_dist_to_origin,i_expected_receive_position_x,i_expected_receive_position_y,i_receiver_x,i_receiver_y,i_receiver_unum,i_receiver_r,i_receiver_t,i_receiver_relative_to_ball_x,i_receiver_relative_to_ball_y,i_receiver_relative_to_ball_r,i_receiver_relative_to_ball_t,i_player_1_x,i_player_1_y,i_player_2_x,i_player_2_y,i_player_3_x,i_player_3_y,i_player_4_x,i_player_4_y,i_player_5_x,i_player_5_y,i_player_6_x,i_player_6_y,i_player_7_x,i_player_7_y,i_player_8_x,i_player_8_y,i_player_9_x,i_player_9_y,i_player_10_x,i_player_10_y,i_player_11_x,i_player_11_y,o_receive_position_x,o_receive_position_y,o_pass_distance
422,-3.67287,-2.1891,0.732054,-97.1831,4.27576,-149.204,-3.67287,-2.1891,0,-3.93133,-4.23991,-3.4707,-0.534901,11,3.51168,-171.239,0.20217,1.6542,1.66651,83.0321,49.317,0.0725934,14.5711,5.65745,14.0756,-4.33215,10.0295,15.7851,10.1767,-15.2021,3.53213,1.28652,-2.26195,11.1887,-2.96168,-9.66711,-8.66908,24.5933,-9.05634,-23.819,-3.4707,-0.534901,-3.78204,-2.94128,0.760061
423,-3.78204,-2.94128,0,0,4.79113,-142.128,-3.67287,-2.1891,0.760061,-3.78204,-2.94128,-3.57664,-1.43077,11,3.8522,-158.197,0.2054,1.51051,1.52441,82.2564,49.317,0.0725934,14.195,5.51068,13.9315,-4.77376,10.0285,15.7852,10.133,-15.2183,3.69551,0.702997,-2.24759,11.1864,-3.07731,-9.81754,-9.2243,24.4608,-9.67583,-24.2834,-3.57664,-1.43077,-3.78204,-2.94128,0
427,-4.95322,-9.43946,2.34441,-99.9046,10.6601,-117.688,-4.95322,-9.43946,0,-7.03759,-21.3767,-10.1184,-24.6014,10,26.601,-112.357,-5.16518,-15.1619,16.0176,-108.812,49.317,0.0725934,13.2577,5.07014,13.179,-6.71564,10.0281,15.7853,9.40755,-16.8023,4.07448,-0.805513,-3.88924,10.349,-3.78386,-7.96724,-9.67188,23.7477,-10.1184,-24.6014,-3.71933,-4.12761,-7.49955,-26.7521,17.4989
428,-5.32097,-11.645,2.10182,-99.4664,12.8031,-114.557,-4.95322,-9.43946,2.23599,-7.10775,-22.361,-10.0917,-25.1384,10,27.0884,-111.873,-4.77073,-13.4934,14.3119,-109.472,49.317,0.0725934,13.1357,4.68499,12.9502,-6.8922,9.83125,15.4094,9.1496,-17.2865,3.9656,-1.20451,-4.08459,10.2627,-3.63061,-8.38019,-9.91344,23.3426,-10.0917,-25.1384,-4.00324,-4.54776,-7.49955,-26.7521,15.2634
429,-5.63409,-13.756,2.00604,-98.4371,14.8651,-112.273,-4.95322,-9.43946,4.36991,-7.15545,-24.0127,-10.0415,-25.9753,10,27.8487,-111.135,-4.40741,-12.2193,12.9899,-109.834,49.317,0.0725934,13.0234,4.14527,12.7473,-7.39177,9.56035,14.9405,8.92154,-17.8352,3.7833,-1.7536,-4.38027,9.96832,-3.47214,-8.86988,-10.3003,22.8033,-10.0415,-25.9753,-4.45619,-5.01286,-7.49955,-26.7521,13.1293
430,-5.91493,-15.7395,1.88313,-98.0586,16.8142,-110.596,-4.95322,-9.43946,6.37302,-7.08569,-24.0086,-10.019,-26.344,10,28.1849,-110.823,-4.10407,-10.6045,11.371,-111.157,49.317,0.0725934,12.8822,3.53936,12.5905,-8.0015,9.2181,14.3998,8.63319,-18.3819,3.64337,-2.32769,-4.77085,9.52977,-3.24254,-9.44293,-10.7403,22.2531,-10.019,-26.344,-5.0028,-5.54786,-7.49955,-26.7521,11.126
431,-6.17679,-17.6244,1.78877,-97.9096,18.6754,-109.314,-4.95322,-9.43946,8.27589,-7.26847,-25.482,-9.61378,-26.8022,10,28.4742,-109.733,-3.43699,-9.1778,9.80025,-110.53,49.317,0.0725934,12.7451,2.87428,12.4898,-8.70769,9.09088,14.2246,8.37906,-18.9291,3.47305,-2.99207,-5.23001,9.08492,-3.04135,-10.0272,-11.2037,21.6811,-9.61378,-26.8022,-5.53256,-6.03269,-7.49955,-26.7521,9.22305
432,-6.48586,-19.4266,1.71887,-99.7307,20.4807,-108.462,-4.95322,-9.43946,10.1041,-7.54747,-25.6173,-8.98389,-27.2938,10,28.7343,-108.219,-2.49803,-7.8672,8.25427,-107.616,49.317,0.0725934,12.6073,2.13734,12.3334,-9.44595,9.05562,14.1672,8.289,-19.124,3.24506,-3.69624,-5.70202,8.63352,-2.84921,-10.6142,-11.4085,21.4059,-8.98389,-27.2938,-6.03547,-6.51731,-7.49955,-26.7521,7.3953
433,-6.72332,-21.0661,1.55722,-98.2413,22.113,-107.701,-4.95322,-9.43946,11.7606,-7.35359,-25.4177,-8.71007,-27.5019,10,28.8482,-107.573,-1.98675,-6.4358,6.73548,-107.156,49.317,0.0725934,12.4386,1.40195,12.1491,-10.1559,9.04416,14.1488,8.20761,-19.5953,3.04039,-4.35706,-6.21193,8.12257,-2.64231,-11.175,-11.5073,21.2739,-8.71007,-27.5019,-6.63305,-7.07189,-7.49955,-26.7521,5.73874
434,-6.96926,-22.6116,1.47099,-99.0423,23.6613,-107.13,-4.95322,-9.43946,13.3255,-7.62203,-26.7135,-8.58654,-27.5871,10,28.8925,-107.289,-1.61728,-4.9755,5.23175,-108.007,49.317,0.0725934,12.2546,0.685236,11.989,-10.9698,9.04041,14.1428,8.14097,-20.1647,2.88731,-5.01378,-6.69621,7.6297,-2.43428,-11.7634,-11.5222,20.8202,-8.58654,-27.5871,-7.13197,-7.62571,-7.49955,-26.7521,4.17432
